raDES,decDES,G_PSF,G_PSFERR,R_PSF,R_PSFERR,I_PSF,I_PSFERR,Z_PSF,Z_PSFERR,objID,raPS1,decPS1,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,iMeanKronMag,iMeanKronMagErr
30.443873,-10.366352,21.1726131439209,0.0141487438231707,19.7344207763672,0.00573208834975958,18.3756313323975,0.004351198207587,17.8103580474854,0.00267425808124244,95560304438900754,30.44388885,-10.36637798,21.1103000640869,0.0244139991700649,19.9090995788574,0.0133720003068447,18.5699005126953,0.00377999991178513,17.9733009338379,0.00671500014141202,18.6368999481201,0.00807600002735853
30.961497,-10.43234,21.1686058044434,0.011275396682322,20.9058799743652,0.00947678089141846,20.838809967041,0.0113865025341511,20.8472862243652,0.0177381187677383,95480309615191548,30.96154112,-10.43237355,21.1287994384766,0.0590119995176792,20.8840999603271,0.0258039999753237,20.7877998352051,0.0170549992471933,20.6681003570557,0.0571449995040894,20.8509998321533,0.0389750003814697
29.71277,-10.029437,21.0912094116211,0.0107472212985158,20.8044872283936,0.0110029662027955,20.7212829589844,0.0145668983459473,20.7259731292725,0.0201574023813009,95960297128655001,29.71280962,-10.02946582,21.0916004180908,0.01876600086689,20.7849998474121,0.0154799995943904,20.6940002441406,0.0129190003499389,20.7089996337891,0.0263749994337559,20.7075004577637,0.0323330014944077
30.073588,-10.402369,21.1282768249512,0.0123345525935292,19.6718921661377,0.00414633192121983,18.6274662017822,0.00237692054361105,18.1724166870117,0.00247539579868317,95510300736097521,30.07362955,-10.40239409,20.9962997436523,0.0274919997900724,19.9030990600586,0.0139049999415874,18.778299331665,0.00406400021165609,18.2912998199463,0.00764699978753924,18.8775005340576,0.00764600001275539
29.470851,-9.822605,21.1069717407227,0.00797529332339764,20.8178863525391,0.00752026867121458,20.9049968719482,0.0114053701981902,20.6646327972412,0.0185288581997156,96210294708393290,29.47089187,-9.82263453,20.8542003631592,0.0209890007972717,20.6821002960205,0.0396919995546341,20.9768009185791,0.0303639993071556,20.6494007110596,0.0524320006370544,21.0401992797852,0.0456830002367496
29.482622,-10.208211,21.1283092498779,0.00813380349427462,20.5447998046875,0.00674206763505936,20.3728942871094,0.00760888308286667,20.3126449584961,0.0116112809628248,95750294825820451,29.48265335,-10.20825994,21.0858001708984,0.0410979986190796,20.5986003875732,0.0190500002354383,20.3721008300781,0.0202569998800755,20.3411998748779,0.0436349995434284,20.4169998168945,0.0294250007718802
30.560076,-10.002384,21.1659641265869,0.01099958922714,19.9282341003418,0.00435622408986092,19.4560394287109,0.0043787001632154,19.2402000427246,0.00432037282735109,95990305599987535,30.56011208,-10.00241349,21.0373992919922,0.0405870005488396,20.0279998779297,0.0119240004569292,19.5293006896973,0.0129140000790358,19.279899597168,0.0183169990777969,19.6259002685547,0.0161979999393225
30.803404,-10.174954,21.1279373168945,0.0106516061350703,20.8374977111816,0.00880616996437311,20.7605209350586,0.0121748605743051,20.7757778167725,0.016311326995492,95790308034210475,30.80343236,-10.17498997,21.1403999328613,0.0250090006738901,20.8339996337891,0.0314400009810925,20.753999710083,0.0319349989295006,20.7236003875732,0.0388309992849827,20.8412990570068,0.0531180016696453
30.440864,-9.962199,21.1206798553467,0.010659359395504,19.821907043457,0.00455498928204179,19.2987537384033,0.00396984908729792,19.0674171447754,0.00408942298963666,96040304409285701,30.44089532,-9.9622345,21.010799407959,0.0266919992864132,19.9095001220703,0.0113399997353554,19.3973999023438,0.00486000021919608,19.1296997070313,0.0121830003336072,19.5394992828369,0.0160859990864992
30.32618,-10.310819,21.1394691467285,0.0126862842589617,19.7415676116943,0.00443360488861799,18.9046001434326,0.00267927907407284,18.543701171875,0.00270527205429971,95620303262107336,30.32619487,-10.31083028,21.067699432373,0.0447079986333847,19.8815994262695,0.0131069999188185,19.0216007232666,0.00478400010615587,18.6303005218506,0.0055030002258718,19.1420993804932,0.00756399985402822
29.687787,-10.223311,21.1101894378662,0.0083016324788332,19.5762691497803,0.00315963360480964,18.2356491088867,0.00163083279039711,17.6671314239502,0.00160931050777435,95730296877522368,29.68781803,-10.22333886,20.9452991485596,0.0334220007061958,19.7823009490967,0.00981600023806095,18.4185009002686,0.00512999994680285,17.8197002410889,0.00454800017178059,18.5125007629395,0.00566900009289384
30.935135,-10.429496,21.1365833282471,0.0110277105122805,19.8717174530029,0.00426130183041096,19.3207054138184,0.00342480489052832,19.0740528106689,0.00384618923999369,95480309351524990,30.93516852,-10.42952534,21.0195007324219,0.0348669998347759,19.9575996398926,0.0130599997937679,19.3910999298096,0.012508999556303,19.1268997192383,0.0111760003492236,19.5077991485596,0.015518999658525
29.350448,-9.917732,21.1243190765381,0.00895325001329184,19.5342807769775,0.00333263794891536,18.6365413665771,0.00222343555651605,18.254093170166,0.00267081265337765,96090293504869133,29.35048944,-9.91776067,21.024299621582,0.0433490015566349,19.6340999603271,0.0123870000243187,18.7756996154785,0.00442000012844801,18.3542995452881,0.00618800008669496,18.8607997894287,0.00822100043296814
30.89531,-10.446638,21.1261196136475,0.0128747588023543,19.6467189788818,0.00415212055668235,18.4417572021484,0.00248606060631573,17.9621047973633,0.00200301874428988,95460308952894386,30.89534724,-10.44666772,21.1081008911133,0.0366810001432896,19.8390007019043,0.00912399962544441,18.6259002685547,0.00821499992161989,18.076000213623,0.00750199984759092,18.7500991821289,0.0110649997368455
